"","fy","fund","agency","source","interfund_trans","from_fund","source_name","receipts","data_source","fund_name","agency_name","fund_cat","fund_cat_name.x","fund_ab","fund_ioc","fund_re","a_end","in_ff","fund_name_ab","fund_category","fund_cat_name.y","in_ff_rev","in_ff_exp","source_name_AWM","rev_type","rev_type_name","amnesty","local","type_assigned","rev_type_name_COMPTROLLER","covid_dollars","employee_premiums","rev_type_new"
"52296",2019,"0464","350","2156",0,"9999","BOY SCOUT LICENSE",20850,"rev ioc 12.11.2019","BOY SCOUT AND GIRL SCOUT","SECRETARY OF STATE",NA,NA,"0464","0464","0",NA,"1","BOY SCOUT AND GIRL SCOUT","D","Special State Funds","1","1","BOY SCOUT LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52297",2020,"0185","350","2156",0,"9999","BOY SCOUT LICENSE",2276,"rev ioc 03.11.2020","SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","BOY SCOUT LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52298",2020,"0464","350","2156",0,"9999","BOY SCOUT LICENSE",18700,"rev ioc 03.11.2020","BOY SCOUT AND GIRL SCOUT","SECRETARY OF STATE",NA,NA,"0464","0464","0",NA,"1","BOY SCOUT AND GIRL SCOUT","D","Special State Funds","1","1","BOY SCOUT LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52299",2021,"0185","350","2156",NA,NA,"BOY SCOUT LICENSE",2372,NA,"SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","BOY SCOUT LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52300",2021,"0464","350","2156",NA,NA,"BOY SCOUT LICENSE",20225,NA,"BOY SCOUT AND GIRL SCOUT","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0464","0464","0",NA,"1","BOY SCOUT AND GIRL SCOUT","D","Special State Funds","1","1","BOY SCOUT LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52301",2022,"0185","350","2156",NA,NA,"BOY SCOUT LICENSE",2324,NA,"SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","BOY SCOUT LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52302",2022,"0464","350","2156",NA,NA,"BOY SCOUT LICENSE",18975,NA,"BOY SCOUT AND GIRL SCOUT","SECRETARY OF STATE",NA,NA,"0464","0464","0",NA,"1","BOY SCOUT AND GIRL SCOUT","D","Special State Funds","1","1","BOY SCOUT LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52303",2009,"0185","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",3207,"rev IOC 13.08.02",NA,NA,NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52304",2009,"0623","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",7485,"rev IOC 13.08.02",NA,NA,NA,NA,"0623","0623","0",NA,"1","SPECIAL OLYMPIC ILLINOIS","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52305",2010,"0185","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",3912,"rev IOC 13.08.02",NA,NA,NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52306",2010,"0623","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",13935,"rev IOC 13.08.02",NA,NA,NA,NA,"0623","0623","0",NA,"1","SPECIAL OLYMPIC ILLINOIS","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52307",2011,"0185","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",2074,"rev IOC 13.08.02",NA,NA,NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52308",2011,"0623","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",13010,"rev IOC 13.08.02",NA,NA,NA,NA,"0623","0623","0",NA,"1","SPECIAL OLYMPIC ILLINOIS","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52309",2012,"0185","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",1857,"rev IOC 13.08.02",NA,NA,NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52310",2012,"0623","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",13605,"rev IOC 13.08.02",NA,NA,NA,NA,"0623","0623","0",NA,"1","SPECIAL OLYMPIC ILLINOIS","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52311",2013,"0185","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",2332,"rev IOC 13.08.02",NA,NA,NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52312",2013,"0623","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",14975,"rev IOC 13.08.02",NA,NA,NA,NA,"0623","0623","0",NA,"1","SPECIAL OLYMPIC ILLINOIS","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52313",2014,"0185","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",1977,"rev IOC 15.09.28","SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52314",2014,"0623","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",15420,"rev IOC 15.09.28","SPECIAL OLYMPIC ILLINOIS","SECRETARY OF STATE",NA,NA,"0623","0623","0",NA,"1","SPECIAL OLYMPIC ILLINOIS","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52315",2015,"0185","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",2126,"rev ioc 16.01.07","SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52316",2015,"0623","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",15865,"rev ioc 16.01.07","SPECIAL OLYMPIC ILLINOIS","SECRETARY OF STATE",NA,NA,"0623","0623","0",NA,"1","SPECIAL OLYMPIC ILLINOIS","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52317",2016,"0185","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",2104,"rev ioc 16.08.04","SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52318",2016,"0623","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",16220,"rev ioc 16.08.04","SPECIAL OLYMPIC ILLINOIS","SECRETARY OF STATE",NA,NA,"0623","0623","0",NA,"1","SPECIAL OLYMPIC ILLINOIS","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52319",2017,"0185","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",1984,"rev ioc 17.11.29","SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52320",2017,"0623","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",16925,"rev ioc 17.11.29","SPECIAL OLYMPIC ILLINOIS","SECRETARY OF STATE",NA,NA,"0623","0623","0",NA,"1","SPECIAL OLYMPIC ILLINOIS","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52321",2018,"0185","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",1983,NA,"SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52322",2018,"0623","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",16070,NA,"SPECIAL OLYMPIC ILLINOIS","SECRETARY OF STATE",NA,NA,"0623","0623","0",NA,"1","SPECIAL OLYMPIC ILLINOIS","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52323",2019,"0185","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",1894,"rev ioc 12.11.2019","SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52324",2019,"0623","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",16235,"rev ioc 12.11.2019","SPECIAL OLYMPIC ILLINOIS","SECRETARY OF STATE",NA,NA,"0623","0623","0",NA,"1","SPECIAL OLYMPIC ILLINOIS","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52325",2020,"0185","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",1786,"rev ioc 03.11.2020","SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52326",2020,"0623","350","2157",0,"9999","SPECIAL OLYMPICS LICENSE",14765,"rev ioc 03.11.2020","SPECIAL OLYMPIC ILLINOIS","SECRETARY OF STATE",NA,NA,"0623","0623","0",NA,"1","SPECIAL OLYMPIC ILLINOIS","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52327",2021,"0185","350","2157",NA,NA,"SPECIAL OLYMPICS LICENSE",1710,NA,"SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52328",2021,"0623","350","2157",NA,NA,"SPECIAL OLYMPICS LICENSE",16335,NA,"SPECIAL OLYMPIC ILLINOIS","SECRETARY OF STATE","D","SPECIAL STATE FUNDS","0623","0623","0",NA,"1","SPECIAL OLYMPIC ILLINOIS","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52329",2022,"0185","350","2157",NA,NA,"SPECIAL OLYMPICS LICENSE",1623,NA,"SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52330",2022,"0623","350","2157",NA,NA,"SPECIAL OLYMPICS LICENSE",14460,NA,"SPECIAL OLYMPIC ILLINOIS","SECRETARY OF STATE",NA,NA,"0623","0623","0",NA,"1","SPECIAL OLYMPIC ILLINOIS","D","Special State Funds","1","1","SPECIAL OLYMPICS LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52331",2009,"0185","350","2158",0,"9999","AFGHANISTAN LICENSE",465,"rev IOC 13.08.02",NA,NA,NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","AFGHANISTAN LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52332",2010,"0185","350","2158",0,"9999","AFGHANISTAN LICENSE",5115,"rev IOC 13.08.02",NA,NA,NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","AFGHANISTAN LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52333",2011,"0185","350","2158",0,"9999","AFGHANISTAN LICENSE",4785,"rev IOC 13.08.02",NA,NA,NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","AFGHANISTAN LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52334",2012,"0185","350","2158",0,"9999","AFGHANISTAN LICENSE",3105,"rev IOC 13.08.02",NA,NA,NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","AFGHANISTAN LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52335",2020,"0185","350","2158",0,"9999","AFGHANISTAN LICENSE",15,"rev ioc 03.11.2020","SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","AFGHANISTAN LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52336",2022,"0185","350","2158",NA,NA,"AFGHANISTAN LICENSE",120,NA,"SECRETARY OF STATE SPEC LIC PL","SECRETARY OF STATE",NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","AFGHANISTAN LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52337",2009,"0185","350","2159",0,"9999","IRAQ LICENSE",4830,"rev IOC 13.08.02",NA,NA,NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","IRAQ LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52338",2010,"0185","350","2159",0,"9999","IRAQ LICENSE",9600,"rev IOC 13.08.02",NA,NA,NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","IRAQ LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52339",2011,"0185","350","2159",0,"9999","IRAQ LICENSE",10110,"rev IOC 13.08.02",NA,NA,NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","IRAQ LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52340",2012,"0185","350","2159",0,"9999","IRAQ LICENSE",5520,"rev IOC 13.08.02",NA,NA,NA,NA,"0185","0185","0",NA,"1","SECRETARY OF STATE SPEC LIC PL","D","Special State Funds","1","1","IRAQ LICENSE","42","MOTOR VEHICLE AND OPERATORS",NA,NA,NA,"MOTOR VEHICLE AND OPERATORS",0,0,"42"
"52341",2010,"0498","492","2160",0,"9999","SCHOOL FACILITY OCCUP TAX",11651.35,"rev IOC 13.08.02",NA,NA,NA,NA,"0498","0498","0",NA,"1","SCHOOL FACILITY OCCUPATION","I","State Trust Funds","1","1","SCHOOL FACILITY OCCUP TAX","06","SALES TAXES, gross of local share",NA,NA,NA,"SALES TAXES",0,0,"06"
"52342",2011,"0498","492","2160",0,"9999","SCHOOL FACILITY OCCUP TAX",329022.62,"rev IOC 13.08.02",NA,NA,NA,NA,"0498","0498","0",NA,"1","SCHOOL FACILITY OCCUPATION","I","State Trust Funds","1","1","SCHOOL FACILITY OCCUP TAX","06","SALES TAXES, gross of local share",NA,NA,NA,"SALES TAXES",0,0,"06"
"52343",2012,"0498","492","2160",0,"9999","SCHOOL FACILITY OCCUP TAX",1257602.03,"rev IOC 13.08.02",NA,NA,NA,NA,"0498","0498","0",NA,"1","SCHOOL FACILITY OCCUPATION","I","State Trust Funds","1","1","SCHOOL FACILITY OCCUP TAX","06","SALES TAXES, gross of local share",NA,NA,NA,"SALES TAXES",0,0,"06"
"52344",2013,"0498","492","2160",0,"9999","SCHOOL FACILITY OCCUP TAX",1007293.08,"rev IOC 13.08.02",NA,NA,NA,NA,"0498","0498","0",NA,"1","SCHOOL FACILITY OCCUPATION","I","State Trust Funds","1","1","SCHOOL FACILITY OCCUP TAX","06","SALES TAXES, gross of local share",NA,NA,NA,"SALES TAXES",0,0,"06"
"52345",2009,"0160","492","2161",0,"9999","ACCELERATED SALES TAX",415829.05,"rev IOC 13.08.02",NA,NA,NA,NA,"0160","0160","0",NA,"0","BUSINESS DIST RTLRS' OCCUP TAX","I","State Trust Funds","0","0","ACCELERATED SALES TAX","06","SALES TAXES, gross of local share",NA,NA,NA,"SALES TAXES",0,0,"06"
"52346",2010,"0160","492","2161",0,"9999","ACCELERATED SALES TAX",1829940.2,"rev IOC 13.08.02",NA,NA,NA,NA,"0160","0160","0",NA,"0","BUSINESS DIST RTLRS' OCCUP TAX","I","State Trust Funds","0","0","ACCELERATED SALES TAX","06","SALES TAXES, gross of local share",NA,NA,NA,"SALES TAXES",0,0,"06"
"52347",2011,"0160","492","2161",0,"9999","ACCELERATED SALES TAX",3628929.65,"rev IOC 13.08.02",NA,NA,NA,NA,"0160","0160","0",NA,"0","BUSINESS DIST RTLRS' OCCUP TAX","I","State Trust Funds","0","0","ACCELERATED SALES TAX","06","SALES TAXES, gross of local share",NA,NA,NA,"SALES TAXES",0,0,"06"
"52348",2012,"0160","492","2161",0,"9999","ACCELERATED SALES TAX",4124016.69,"rev IOC 13.08.02",NA,NA,NA,NA,"0160","0160","0",NA,"0","BUSINESS DIST RTLRS' OCCUP TAX","I","State Trust Funds","0","0","ACCELERATED SALES TAX","06","SALES TAXES, gross of local share",NA,NA,NA,"SALES TAXES",0,0,"06"
"52349",2013,"0160","492","2161",0,"9999","ACCELERATED SALES TAX",4647402.58,"rev IOC 13.08.02",NA,NA,NA,NA,"0160","0160","0",NA,"0","BUSINESS DIST RTLRS' OCCUP TAX","I","State Trust Funds","0","0","ACCELERATED SALES TAX","06","SALES TAXES, gross of local share",NA,NA,NA,"SALES TAXES",0,0,"06"
"52350",2014,"0160","492","2161",0,"9999","ACCELERATED SALES TAX",5912112.39,"rev IOC 15.09.28","BUSINESS DIST RTLRS' OCCUP TAX","REVENUE",NA,NA,"0160","0160","0",NA,"0","BUSINESS DIST RTLRS' OCCUP TAX","I","State Trust Funds","0","0","ACCELERATED SALES TAX","06","SALES TAXES, gross of local share",NA,NA,NA,"SALES TAXES",0,0,"06"
"52351",2015,"0160","492","2161",0,"9999","ACCELERATED SALES TAX",6739639.23,"rev ioc 16.01.07","BUSINESS DIST RTLRS' OCCUP TAX","REVENUE",NA,NA,"0160","0160","0",NA,"0","BUSINESS DIST RTLRS' OCCUP TAX","I","State Trust Funds","0","0","ACCELERATED SALES TAX","06","SALES TAXES, gross of local share",NA,NA,NA,"SALES TAXES",0,0,"06"
"52352",2016,"0160","492","2161",0,"9999","ACCELERATED SALES TAX",7819567.5,"rev ioc 16.08.04","BUSINESS DIST RTLRS' OCCUP TAX","REVENUE",NA,NA,"0160","0160","0",NA,"0","BUSINESS DIST RTLRS' OCCUP TAX","I","State Trust Funds","0","0","ACCELERATED SALES TAX","06","SALES TAXES, gross of local share",NA,NA,NA,"SALES TAXES",0,0,"06"
"52353",2017,"0160","492","2161",0,"9999","ACCELERATED SALES TAX",11266737.79,"rev ioc 17.11.29","BUSINESS DIST RTLRS' OCCUP TAX","REVENUE",NA,NA,"0160","0160","0",NA,"0","BUSINESS DIST RTLRS' OCCUP TAX","I","State Trust Funds","0","0","ACCELERATED SALES TAX","06","SALES TAXES, gross of local share",NA,NA,NA,"SALES TAXES",0,0,"06"
"52354",2018,"0160","492","2161",0,"9999","ACCELERATED SALES TAX",160654.09,NA,"BUSINESS DIST RTLRS' OCCUP TAX","REVENUE",NA,NA,"0160","0160","0",NA,"0","BUSINESS DIST RTLRS' OCCUP TAX","I","State Trust Funds","0","0","ACCELERATED SALES TAX","06","SALES TAXES, gross of local share",NA,NA,NA,"SALES TAXES",0,0,"06"
"52355",2009,"0429","492","2162",0,"9999","MS RESEARCH INSTANT GAME",2127268,"rev IOC 13.08.02",NA,NA,NA,NA,"0429","0429","0",NA,"1","MULTIPLE SCLEROSIS RESEARCH","D","Special State Funds","1","1","MS RESEARCH INSTANT GAME","33","LOTTERY RECEIPTS",NA,NA,NA,"LOTTERY RECEIPTS",0,0,"33"
"52356",2010,"0429","492","2162",0,"9999","MS RESEARCH INSTANT GAME",1249858,"rev IOC 13.08.02",NA,NA,NA,NA,"0429","0429","0",NA,"1","MULTIPLE SCLEROSIS RESEARCH","D","Special State Funds","1","1","MS RESEARCH INSTANT GAME","33","LOTTERY RECEIPTS",NA,NA,NA,"LOTTERY RECEIPTS",0,0,"33"
"52357",2011,"0429","492","2162",0,"9999","MS RESEARCH INSTANT GAME",1288032,"rev IOC 13.08.02",NA,NA,NA,NA,"0429","0429","0",NA,"1","MULTIPLE SCLEROSIS RESEARCH","D","Special State Funds","1","1","MS RESEARCH INSTANT GAME","33","LOTTERY RECEIPTS",NA,NA,NA,"LOTTERY RECEIPTS",0,0,"33"
"52358",2012,"0429","458","2162",0,"9999","MS RESEARCH INSTANT GAME",565041,"rev IOC 13.08.02",NA,NA,NA,NA,"0429","0429","0",NA,"1","MULTIPLE SCLEROSIS RESEARCH","D","Special State Funds","1","1","MS RESEARCH INSTANT GAME","33","LOTTERY RECEIPTS",NA,NA,NA,"LOTTERY RECEIPTS",0,0,"33"
"52359",2012,"0429","492","2162",0,"9999","MS RESEARCH INSTANT GAME",279879,"rev IOC 13.08.02",NA,NA,NA,NA,"0429","0429","0",NA,"1","MULTIPLE SCLEROSIS RESEARCH","D","Special State Funds","1","1","MS RESEARCH INSTANT GAME","33","LOTTERY RECEIPTS",NA,NA,NA,"LOTTERY RECEIPTS",0,0,"33"
"52360",2013,"0429","458","2162",0,"9999","MS RESEARCH INSTANT GAME",877933,"rev IOC 13.08.02",NA,NA,NA,NA,"0429","0429","0",NA,"1","MULTIPLE SCLEROSIS RESEARCH","D","Special State Funds","1","1","MS RESEARCH INSTANT GAME","33","LOTTERY RECEIPTS",NA,NA,NA,"LOTTERY RECEIPTS",0,0,"33"
"52361",2014,"0429","458","2162",0,"9999","MS RESEARCH INSTANT GAME",488011,"rev IOC 15.09.28","MULTIPLE SCLEROSIS RESEARCH","STATE LOTTERY",NA,NA,"0429","0429","0",NA,"1","MULTIPLE SCLEROSIS RESEARCH","D","Special State Funds","1","1","MS RESEARCH INSTANT GAME","33","LOTTERY RECEIPTS",NA,NA,NA,"LOTTERY RECEIPTS",0,0,"33"
"52362",2015,"0429","458","2162",0,"9999","MS RESEARCH INSTANT GAME",686415,"rev ioc 16.01.07","MULTIPLE SCLEROSIS RESEARCH","STATE LOTTERY",NA,NA,"0429","0429","0",NA,"1","MULTIPLE SCLEROSIS RESEARCH","D","Special State Funds","1","1","MS RESEARCH INSTANT GAME","33","LOTTERY RECEIPTS",NA,NA,NA,"LOTTERY RECEIPTS",0,0,"33"
"52363",2016,"0429","458","2162",0,"9999","MS RESEARCH INSTANT GAME",732527,"rev ioc 16.08.04","MULTIPLE SCLEROSIS RESEARCH","STATE LOTTERY",NA,NA,"0429","0429","0",NA,"1","MULTIPLE SCLEROSIS RESEARCH","D","Special State Funds","1","1","MS RESEARCH INSTANT GAME","33","LOTTERY RECEIPTS",NA,NA,NA,"LOTTERY RECEIPTS",0,0,"33"
